steamid,target_games_count,avg_target_playtime_h,friends_count,total_games
76561198084498792,11,180.83,49,342
76561198177103731,3,41.02,12,282
76561198066127782,9,108.47,63,272
76561198214557257,2,62.24,20,56
76561197991899002,10,215.01,274,628
76561197970961357,7,75.2,242,291
76561198053398526,2,142.36,406,768
76561197963335749,4,122.2,28,213
76561197971101374,8,220.4,48,378
76561198263651995,4,51.72,43,1487
76561198094528631,6,92.79,403,184
76561198023234054,3,75.4,86,267
76561197999972657,12,57.25,91,709
76561198171252014,8,183.36,296,187
76561198065754790,7,142.76,89,1253
76561199453096647,7,23.3,124,384
76561198115515666,9,56.11,353,414
76561198022387890,3,35.51,8,60
76561198072346328,5,207.3,73,184
76561198134081703,10,97.37,61,143
76561197972516825,4,390.27,55,144
76561198234278808,6,158.48,144,707
76561198042813866,4,168.13,39,323
76561198064951075,8,96.92,164,200
76561198199413351,8,222.84,44,214
76561198053628773,4,33.98,149,63
76561198081337381,12,201.23,10,480
76561198325253411,7,133.05,211,265
76561198831159401,5,46.22,75,335
76561198057616894,2,53.42,55,679
76561198064649398,7,180.65,95,477
76561198349643584,4,53.62,54,238
76561198090856967,3,409.93,20,265
76561198045265678,2,264.33,43,109
76561198077956137,6,184.98,75,140
76561198900194517,3,274.4,45,124
76561198181771258,2,7.62,130,80
76561198040406454,6,202.7,92,148
76561198279832164,3,136.51,184,208
76561198091277375,10,160.89,23,137
76561198139693457,7,234.17,12,224
76561198132874781,9,26.67,95,313
76561198868012357,4,83.84,336,331
76561199089316371,2,76.51,34,142
76561197988770025,2,2.87,243,594
76561198173387445,5,109.02,89,157
76561199166909181,6,70.72,37,169
76561198088753960,4,55.27,52,72
76561198107832009,2,11.15,194,485
76561198069756490,5,250.51,59,301
76561198048779054,9,92.53,102,337
76561198035137553,2,486.7,130,1124
76561198093002122,9,96.7,55,310
76561198165701126,4,34.78,100,144
76561198354542667,2,19.24,39,147
76561198015884541,6,120.82,124,250
76561198225693932,5,11.21,36,215
76561198130294497,5,195.62,62,91
76561198043502429,2,85.45,426,469
76561198056521510,3,114.79,215,57
76561198985215635,2,11.1,234,105
76561198063867227,6,143.46,79,345
76561198174049229,3,341.12,165,60
76561198033958755,4,8.4,3,506
76561198120882567,4,57.52,48,195
76561198130866774,2,60.73,41,272
76561198191138428,3,185.72,29,127
76561198111324745,9,45.28,18,315
76561198165400386,3,31.7,4,368
76561198301060803,7,30.92,61,336
76561198141420611,2,34.17,278,40
76561198143453905,4,141.72,201,321
76561198174730070,4,105.11,348,138
76561198106620546,2,30.62,36,43
76561199091807387,3,57.21,21,157
76561198860150256,5,127.14,116,121
76561198073435882,2,17.61,48,149
76561198094606747,4,30.24,89,237
76561199487476374,2,580.51,56,112
76561198143120766,7,53.83,23,148
76561198969302131,2,326.76,29,113
76561198379140565,6,187.72,65,218
76561198115850244,4,348.1,49,298
76561199103514746,4,44.08,92,112
76561198148916834,4,172.08,65,284
76561198102359323,6,86.04,25,164
76561198032928473,4,465.46,156,145
76561198393149835,2,157.13,87,31
76561198037674678,3,652.62,343,379
76561198141074873,5,348.3,47,169
76561198071143866,3,420.46,30,171
76561198113200828,6,92.56,117,141
76561198186777453,6,368.01,105,220
76561198269188774,5,385.66,66,373
76561198999993191,6,153.65,63,742
76561198447222779,3,32.6,11,96
76561198069822171,2,91.54,88,231
76561198084978782,5,189.2,46,127
76561198103982254,14,76.37,39,689
76561198104782656,2,22.63,15,302
76561198123575375,7,245.51,135,245
76561198046754429,9,171.56,105,276
76561198072930035,2,110.68,66,500
76561198167492783,3,8.09,25,310
76561198050824548,5,165.25,109,147
76561198071458142,2,49.88,190,48
76561198049369702,3,113.78,38,125
76561198837709379,2,360.64,78,98
76561198118278342,7,104.28,17,328
76561198181528006,3,61.58,244,707
76561198040381026,6,129.29,185,709
76561198145771681,3,146.97,72,58
76561198089955432,7,275.09,19,801
76561198116357753,5,115.33,135,151
76561198051830931,6,122.75,44,494
76561198050748173,5,268.14,5,71
76561198039044110,8,117.41,51,226
76561198035627076,5,116.26,28,306
76561198091497552,5,119.62,89,1707
76561198013979373,4,52.23,109,115
76561198115254313,3,28.14,66,162
76561198246374594,8,281.39,41,624
76561198248218800,11,149.37,91,376
76561198340296598,7,87.47,22,223
76561198183605521,2,57.84,39,161
76561199100626289,3,183.45,19,128
76561199136424521,2,4.97,43,150
76561198146345859,5,65.59,36,275
76561198080996131,2,209.12,27,117
76561198261825713,3,111.28,122,126
76561198010477868,3,43.42,59,195
76561199805403519,2,13.3,213,210
76561198139087737,2,66.23,84,175
76561198137169895,3,40.36,174,474
76561198144215031,7,128.4,57,63
76561198105412413,6,187.7,44,377
76561198589941481,3,285.97,31,99
76561199577714541,2,10.28,13,82
76561198830649401,3,196.62,164,96
76561198007598037,6,106.33,66,199
76561198166651376,3,237.87,34,109
76561198425823957,2,106.34,49,68
76561198119946114,3,71.66,120,202
76561198394294645,7,37.36,33,231
76561198067535870,3,181.29,122,166
76561198062186485,2,32.05,24,104
76561198066537026,3,54.39,186,214
76561198188902922,3,281.17,63,170
76561198196181970,4,146.86,72,287
76561198142181899,7,118.59,107,144
76561198053384504,4,32.6,89,212
76561198276517839,2,37.1,1,63
76561198050177780,4,191.62,108,229
76561198081026487,8,75.5,81,248
76561198146616247,2,63.39,34,58
76561198086970753,6,151.46,54,217
76561197982789265,4,126.55,59,92
76561198097609744,3,192.3,123,77
76561198299449239,3,327.97,39,113
76561197997226434,2,119.23,243,500
76561198850127639,9,48.69,42,409
76561198122915622,9,156.23,73,406
76561199032849141,2,16.62,68,74
76561198113720893,2,209.03,50,141
76561198223215884,6,132.85,101,180
76561198211215685,5,112.1,28,75
76561198365645513,5,460.4,182,309
76561199212286722,2,119.11,58,208
76561198104550331,7,167.52,9,168
76561198065261001,9,109.89,18,221
76561198077240913,6,165.85,24,304
76561198128297281,5,40.89,8,136
76561198016480651,3,159.04,44,159
76561198090038001,7,87.42,70,1007
76561198180269890,8,81.0,45,239
76561198090478515,2,30.51,16,122
76561198077114109,10,129.92,25,583
76561198144733333,4,233.91,83,85
76561198000097647,6,59.39,52,106
76561198318994267,8,191.18,106,200
76561198157684294,4,64.02,36,198
76561198049993125,4,119.82,63,117
76561198340402507,2,172.22,11,164
76561198049035992,6,137.19,25,371
76561198094652487,7,325.57,252,186
76561198031286432,4,25.84,16,90
76561198196385066,2,33.62,46,108
76561198033592575,3,36.12,70,231
76561198074032634,4,76.06,28,194
76561197980161167,3,140.6,21,681
76561198029481770,4,293.95,61,203
76561198183948877,6,383.33,230,256
76561198111967972,2,42.76,56,41
76561198085382379,9,73.14,46,248
76561198143428272,6,117.18,80,328
76561198028212099,5,147.52,138,1715
76561198153263957,4,321.43,6,130
76561198893558537,4,64.01,60,100
76561198092642438,10,151.33,140,404
76561199037769837,5,82.48,19,197
76561198020233776,6,77.0,62,371
76561199208519382,2,42.35,26,182
76561198112539961,4,102.65,85,256
76561198159874979,6,31.62,152,70
76561198155135215,2,125.63,86,214
76561198042877576,5,51.54,6,105
76561198278274684,4,126.37,20,110
76561198102456355,6,106.79,64,184
76561198167399093,4,68.31,64,196
76561199504389163,6,21.24,60,98
76561199439953577,2,84.72,146,73
76561198201107905,2,19.02,239,218
76561198114718582,7,74.44,25,306
76561198102226026,3,139.42,65,64
76561198157192609,3,165.69,42,136
76561198124570092,3,116.42,183,51
76561198076772943,5,38.35,18,94
76561198021415360,5,37.1,10,815
76561198305450206,3,235.02,135,94
76561198029094936,10,110.07,34,427
76561198103309377,12,83.59,67,198
76561198973402800,4,175.62,45,216
76561198141166844,8,93.71,37,506
76561198124841640,3,65.04,80,94
76561198066372754,5,179.59,8,53
76561198169404985,6,377.73,40,249
76561198153166933,7,178.94,61,447
76561198144580223,5,56.33,46,239
76561198184488543,9,108.21,37,273
76561198356836034,3,177.39,172,144
76561198197586753,5,129.96,113,152
76561198179607925,5,149.43,57,212
76561198170433074,3,90.28,161,130
76561198324824191,6,142.92,84,198
76561198077865868,4,137.49,309,113
76561198120837027,3,245.98,26,41
76561198035205570,11,53.45,16,922
76561198157098297,3,468.11,122,144
76561198086902926,8,47.06,7,426
76561198388466519,3,47.03,36,176
76561199872933965,2,516.41,37,18
76561198122190157,3,64.02,17,121
76561198094564626,4,216.68,116,194
76561198138487898,2,211.79,14,325
76561198141269007,5,74.05,51,206
76561198254012127,5,139.66,33,431
76561198052241041,7,72.7,81,387
76561198120542078,3,93.27,39,286
76561198255081419,10,143.37,14,285
76561198009415628,5,227.35,14,374
76561198145914129,4,100.11,16,276
76561198129140440,5,32.82,68,252
76561198011473526,8,66.92,39,145
76561198802004904,2,401.8,18,39
76561198084601065,3,126.31,149,52
76561198084365926,8,132.53,181,521
76561198055335743,6,279.94,176,277
76561198240534620,4,260.36,135,249
76561198198593311,3,341.91,113,592
76561198035538876,6,209.42,22,378
76561198180794101,7,22.64,174,233
76561198056192348,5,15.61,143,283
76561198127370976,2,97.72,11,67
76561198102283218,6,72.09,65,174
76561198134612650,6,123.95,191,201
76561198043226822,3,9.87,141,846
76561198247853292,3,363.54,23,259
76561198255468039,3,287.04,116,62
76561198096313879,3,789.41,103,91
76561198118863605,6,166.9,29,360
76561198056761901,5,221.76,149,235
76561199511117810,2,32.78,85,122
76561198288711500,5,263.25,115,331
76561198106919237,4,359.89,13,105
76561198141391126,4,121.72,64,334
76561198026135127,7,41.19,35,620
76561198145342273,3,126.48,48,148
76561199235127375,4,182.9,55,288
76561198321009119,3,42.33,135,132
76561198081315873,3,53.74,63,387
76561198016856781,5,181.7,219,331
76561198065069800,3,45.09,56,213
76561198078743136,3,218.53,39,133
76561198090200634,7,144.84,87,370
76561198201542121,9,100.39,69,281
76561198048528352,3,125.53,58,106
76561198113255858,5,324.35,167,155
76561198038076151,10,150.76,52,305
76561198093469431,5,108.78,58,169
76561198073045842,10,174.43,77,633
76561198107049125,7,96.4,10,778
76561198255076918,2,34.42,56,99
76561198281456123,7,210.78,65,144
76561198089125262,9,78.69,44,356
76561198306514099,6,63.52,29,310
76561198007349499,2,78.28,40,528
76561198161870608,6,232.17,96,132
76561198080869268,8,136.08,169,395
76561198087694445,2,132.43,21,243
76561198216848933,6,64.77,47,211
76561198107721990,3,108.37,15,125
76561198096739494,10,72.53,10,415
76561198018979556,10,93.41,43,470
76561198281897045,2,53.15,52,84
76561198068569323,7,292.37,85,325
76561198253609340,4,98.28,82,322
76561198343530965,7,85.58,113,208
76561198032939628,4,113.47,59,132
76561198034536045,8,77.93,118,320
76561198163066014,8,229.12,93,287
76561198058048070,3,80.48,54,230
76561198060131687,2,122.23,268,2161
76561198085186841,2,40.24,80,167
76561198070335272,3,267.97,32,173
76561198345750561,9,126.98,41,360
76561198019075535,7,75.86,171,297
76561198192804201,4,96.65,87,231
76561198325142605,5,176.64,36,302
76561198149782646,4,460.08,112,227
76561198153662294,12,152.28,49,355
76561198296086673,2,339.04,57,61
76561198047957243,4,284.38,28,186
76561198228781236,3,44.7,144,175
76561198184804119,7,83.65,51,173
76561198967921830,3,382.09,40,82
76561198402381154,5,715.55,65,137
76561198052112197,3,124.55,41,149
76561198017362403,9,84.05,89,140
76561198090808234,2,3.67,75,29
76561198149721893,4,88.85,182,194
76561198053381419,3,9.5,79,155
76561198013531066,4,48.42,35,983
76561198983119529,2,229.63,15,63
76561198919550592,5,40.01,40,230
76561198169054161,6,184.16,12,516
76561198117763545,3,144.2,84,81
76561198070280209,2,455.26,14,55
76561198066212965,9,96.39,26,1224
76561198322917371,5,127.66,152,123
76561198075177993,6,83.1,238,173
76561198092915638,3,57.98,41,373
76561198047356328,2,133.24,43,439
76561198201974619,3,378.66,110,164
76561198104630891,11,66.37,183,1710
76561198127209807,3,437.53,41,178
76561198054106390,7,198.82,74,555
76561198309304441,7,69.22,363,145
76561198318857656,4,231.55,66,202
76561198082474148,7,35.34,14,177
76561198093653706,10,114.29,52,127
76561198042678018,7,103.07,65,374
76561198026785178,6,426.11,58,315
76561198874771691,2,130.18,71,178
76561198131529717,2,130.58,57,280
76561198131920412,2,121.49,51,135
76561198380845671,6,12.38,67,244
76561198104005747,3,64.02,57,113
76561198089115500,6,127.04,82,543
76561198061125133,2,103.44,76,384
76561199065163054,3,373.45,46,113
76561198083594215,2,65.72,17,112
76561198072418848,8,55.56,14,308
76561198196366678,6,66.66,12,443
76561198123634460,2,613.33,98,226
76561198091612566,2,56.26,101,107
